                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5951,                 3.2584,                 1.3864,                0.25868,                0.45356,                  0.273,                0.16267,                 1.5878,                  2.136,                 1.4636,             0.00015077,             0.00015077,             0.00015077
                      2,                 1.4088,                 1.9259,                 1.2494,                0.26541,                0.70819,                0.38469,                0.23138,                 1.4618,                 1.7381,                 1.3979,             0.00029495,             0.00029495,             0.00029495
                      3,                 1.3755,                 1.6766,                 1.2296,                0.35636,                0.65283,                0.46915,                0.29755,                 1.4504,                  1.564,                 1.3735,             0.00043162,             0.00043162,             0.00043162
                      4,                  1.344,                 1.5302,                 1.2166,                0.49514,                0.68175,                0.64824,                0.40945,                 1.4224,                 1.4915,                 1.3591,             0.00042122,             0.00042122,             0.00042122
                      5,                 1.3238,                 1.3739,                 1.2048,                0.69335,                0.75176,                0.77483,                0.50449,                 1.4239,                 1.3147,                 1.3468,             0.00042122,             0.00042122,             0.00042122
                      6,                 1.3021,                 1.2365,                 1.1912,                0.80655,                0.81306,                0.81424,                0.51466,                 1.4084,                 1.1904,                 1.3284,             0.00040995,             0.00040995,             0.00040995
                      7,                 1.2795,                 1.1299,                 1.1828,                0.88532,                0.79427,                0.87061,                0.56539,                 1.4078,                 1.1826,                 1.3295,             0.00039869,             0.00039869,             0.00039869
                      8,                 1.2765,                 1.0661,                  1.176,                0.86825,                0.82364,                0.88243,                0.57878,                 1.3473,                 1.0743,                 1.2822,             0.00038743,             0.00038743,             0.00038743
                      9,                 1.2709,                 1.0292,                 1.1689,                0.88335,                0.81769,                0.88887,                0.58306,                 1.3747,                  1.069,                 1.2932,             0.00037617,             0.00037617,             0.00037617
                     10,                 1.2488,                0.98548,                 1.1568,                0.90034,                0.84667,                0.88967,                0.58689,                 1.3722,                 1.0199,                 1.3024,             0.00036491,             0.00036491,             0.00036491
                     11,                 1.2286,                0.95709,                 1.1443,                0.88475,                0.87771,                 0.9095,                0.57913,                 1.3454,                0.97474,                 1.2898,             0.00035365,             0.00035365,             0.00035365
                     12,                 1.2124,                0.93193,                 1.1397,                0.90855,                0.86142,                0.90402,                0.59763,                 1.3789,                0.94132,                  1.301,             0.00034239,             0.00034239,             0.00034239
                     13,                 1.1951,                0.89644,                 1.1362,                0.89045,                0.87523,                0.91313,                0.60532,                 1.3404,                0.91226,                 1.2701,             0.00033113,             0.00033113,             0.00033113
                     14,                  1.194,                0.87985,                 1.1334,                 0.9132,                0.86431,                0.90563,                0.60223,                 1.3501,                0.93059,                 1.2905,             0.00031986,             0.00031986,             0.00031986
                     15,                 1.1582,                 0.8412,                 1.1198,                0.90456,                0.87017,                0.91755,                0.61493,                  1.342,                0.86513,                 1.2767,              0.0003086,              0.0003086,              0.0003086
                     16,                 1.1648,                0.83606,                 1.1207,                0.90941,                0.88291,                0.91476,                0.61819,                 1.3341,                0.84542,                 1.2712,             0.00029734,             0.00029734,             0.00029734
                     17,                 1.1704,                0.82083,                 1.1244,                0.90986,                0.88276,                 0.9259,                0.61879,                 1.3378,                0.85286,                  1.274,             0.00028608,             0.00028608,             0.00028608
                     18,                 1.1456,                0.79496,                 1.1066,                0.92124,                0.87852,                0.93301,                0.63073,                 1.3192,                0.79521,                 1.2616,             0.00027482,             0.00027482,             0.00027482
                     19,                 1.1216,                0.77774,                 1.0987,                0.91351,                0.87359,                0.92589,                0.63749,                 1.3213,                0.81668,                   1.28,             0.00026356,             0.00026356,             0.00026356
                     20,                 1.1344,                0.78259,                 1.1054,                0.92916,                0.87362,                0.92602,                0.63515,                 1.3257,                0.81735,                 1.2737,              0.0002523,              0.0002523,              0.0002523
                     21,                 1.1126,                0.76089,                 1.0938,                0.92654,                0.88292,                0.92767,                0.63211,                 1.3039,                0.78428,                 1.2554,             0.00024104,             0.00024104,             0.00024104
                     22,                 1.1046,                0.74192,                 1.0898,                0.93134,                0.87722,                0.93604,                0.64244,                 1.3216,                0.78234,                 1.2725,             0.00022978,             0.00022978,             0.00022978
                     23,                 1.0996,                0.73467,                 1.0892,                0.92977,                0.88958,                 0.9336,                  0.647,                 1.2914,                0.74856,                 1.2503,             0.00021851,             0.00021851,             0.00021851
                     24,                 1.0902,                0.72401,                 1.0845,                0.93093,                0.88173,                0.92925,                0.63607,                 1.2944,                0.77238,                 1.2554,             0.00020725,             0.00020725,             0.00020725
                     25,                 1.0811,                0.71374,                 1.0787,                0.93992,                0.89419,                0.93784,                0.65268,                 1.3098,                0.75963,                  1.272,             0.00019599,             0.00019599,             0.00019599
                     26,                 1.0688,                0.70797,                 1.0798,                0.93711,                0.89173,                0.93489,                0.65238,                 1.2811,                  0.748,                 1.2475,             0.00018473,             0.00018473,             0.00018473
                     27,                 1.0555,                0.69267,                 1.0667,                0.92627,                 0.8862,                0.93257,                0.65254,                 1.2708,                0.73847,                 1.2413,             0.00017347,             0.00017347,             0.00017347
                     28,                 1.0648,                0.68965,                 1.0764,                0.94368,                0.89199,                0.94169,                0.66006,                 1.2808,                0.72795,                 1.2467,             0.00016221,             0.00016221,             0.00016221
                     29,                 1.0424,                0.67183,                 1.0619,                0.94348,                0.89722,                0.94234,                0.65862,                 1.2823,                0.71739,                  1.246,             0.00015095,             0.00015095,             0.00015095
                     30,                 1.0342,                0.66881,                 1.0621,                0.91488,                0.90321,                0.93812,                 0.6593,                 1.2914,                0.70967,                 1.2714,             0.00013969,             0.00013969,             0.00013969
