                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5782,                 2.1813,                 1.5395,                0.65707,                0.57328,                0.68757,                0.41512,                 1.4737,                 2.0272,                 1.4891,             0.00047015,             0.00047015,             0.00047015
                      2,                 1.4508,                 1.5064,                 1.4178,                0.69307,                0.69543,                0.72279,                0.40275,                 1.5756,                 1.7774,                 1.6344,             0.00092306,             0.00092306,             0.00092306
                      3,                 1.5021,                 1.4406,                 1.4246,                0.69778,                0.67517,                 0.7424,                0.42256,                 1.6036,                 1.8297,                 1.6749,              0.0013524,              0.0013524,              0.0013524
                      4,                 1.4607,                 1.3606,                 1.4028,                0.68867,                0.70305,                0.76465,                0.43168,                 1.7035,                 1.8833,                 1.7903,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.4644,                  1.297,                 1.4017,                0.75074,                 0.6651,                0.76585,                  0.434,                 1.6048,                 1.6588,                 1.6539,              0.0013229,              0.0013229,              0.0013229
                      6,                 1.4401,                 1.2257,                 1.3756,                0.72784,                0.77084,                0.81907,                0.50016,                 1.4939,                 1.2458,                  1.563,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4202,                 1.2068,                 1.3759,                0.78283,                 0.8281,                0.87989,                0.56487,                 1.3809,                 1.0927,                 1.4357,              0.0012522,              0.0012522,              0.0012522
                      8,                 1.3626,                 1.0736,                 1.3328,                0.83354,                0.83816,                0.86857,                0.54086,                 1.4533,                 1.0935,                 1.4955,              0.0012168,              0.0012168,              0.0012168
                      9,                 1.3454,                 1.0587,                 1.3315,                0.79184,                0.84291,                0.88616,                 0.5644,                 1.3891,                 1.0352,                  1.444,              0.0011814,              0.0011814,              0.0011814
                     10,                 1.3494,                 1.0222,                 1.3211,                0.81648,                0.80818,                0.87756,                0.54862,                 1.4484,                0.98225,                 1.5196,              0.0011461,              0.0011461,              0.0011461
                     11,                 1.3302,                 1.0036,                 1.2943,                0.87053,                0.81781,                0.90422,                0.58159,                 1.4318,                0.94011,                 1.4385,              0.0011107,              0.0011107,              0.0011107
