                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1105,                 2.2431,                 1.4067,                0.00383,                      1,                0.41887,                 0.2258,                  1.457,                  3.012,                 1.7611,                0.00014,                0.00014,                0.00014
                      2,                  1.089,                 1.5386,                 1.3242,                0.23011,                0.17391,                0.17436,                0.08502,                 1.9953,                  3.237,                 2.5623,             0.00029257,             0.00029257,             0.00029257
                      3,                 1.0454,                 1.1277,                 1.2966,                 0.3057,                0.08696,                0.12372,                0.03496,                 2.5019,                 3.3254,                 2.9985,             0.00043723,             0.00043723,             0.00043723
                      4,                 1.0469,                 1.0804,                 1.3395,                0.11704,                0.34783,                0.06789,                0.01948,                 2.3991,                 3.6094,                 2.9368,             0.00057397,             0.00057397,             0.00057397
                      5,                 1.0363,                 0.9957,                 1.3034,                0.05772,                0.17391,                0.03494,                0.01074,                 2.5995,                 3.9805,                 2.9204,             0.00070278,             0.00070278,             0.00070278
                      6,                 1.0033,                  0.914,                 1.3014,                0.01729,                0.04348,                0.01559,                0.00412,                 3.0682,                 4.2867,                 3.0592,             0.00082367,             0.00082367,             0.00082367
                      7,                0.96617,                0.87713,                 1.2486,                0.01428,                0.04348,                0.00922,                0.00245,                 3.1862,                 7.0085,                 3.2252,             0.00093665,             0.00093665,             0.00093665
                      8,                0.96951,                0.89911,                 1.2462,                0.02783,                0.08696,                0.01017,                0.00255,                 3.1654,                   6.79,                 3.5863,              0.0010417,              0.0010417,              0.0010417
                      9,                0.93457,                  0.902,                  1.192,                0.02887,                0.08696,                0.01335,                0.00341,                 3.1307,                 5.9196,                 3.4055,              0.0011388,              0.0011388,              0.0011388
