                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6989,                 3.5766,                 1.4797,                0.58083,                0.16741,                0.19817,                0.11554,                 1.5336,                 2.7575,                 1.4096,             0.00015019,             0.00015019,             0.00015019
                      2,                 1.5181,                 2.0864,                  1.339,                0.16952,                0.51277,                0.27542,                0.15997,                 1.5102,                 1.8831,                  1.405,             0.00028692,             0.00028692,             0.00028692
                      3,                 1.4593,                 1.7874,                 1.3006,                0.25913,                0.59738,                0.33187,                0.19691,                 1.4616,                 1.7725,                 1.3458,             0.00040863,             0.00040863,             0.00040863
                      4,                 1.4211,                  1.657,                 1.2647,                 0.3134,                0.63426,                0.37126,                0.21714,                  1.418,                 1.6424,                 1.3465,             0.00038743,             0.00038743,             0.00038743
                      5,                 1.4069,                 1.5433,                 1.2569,                0.31742,                0.63404,                0.38774,                0.23822,                 1.3932,                 1.5213,                  1.351,             0.00038743,             0.00038743,             0.00038743
                      6,                 1.3592,                 1.4797,                  1.251,                0.33916,                 0.7269,                0.43931,                0.26345,                 1.3768,                 1.4876,                  1.305,             0.00036491,             0.00036491,             0.00036491
                      7,                 1.3245,                 1.4122,                 1.2283,                0.37544,                0.69415,                0.51454,                0.31787,                 1.4015,                 1.4064,                 1.3194,             0.00034239,             0.00034239,             0.00034239
                      8,                 1.3232,                 1.3794,                 1.2242,                0.42494,                0.71123,                0.57813,                0.35364,                 1.3398,                 1.3302,                 1.2909,             0.00031986,             0.00031986,             0.00031986
                      9,                 1.3054,                 1.2844,                   1.21,                0.46535,                0.74209,                0.61901,                0.39512,                 1.3128,                 1.2992,                 1.2585,             0.00029734,             0.00029734,             0.00029734
                     10,                 1.2702,                 1.2376,                 1.1952,                 0.5357,                0.72074,                 0.6524,                0.41942,                  1.323,                 1.2139,                 1.2876,             0.00027482,             0.00027482,             0.00027482
                     11,                 1.2415,                 1.1906,                 1.2089,                0.64802,                0.72903,                0.73251,                0.47627,                 1.2966,                 1.1381,                 1.2586,              0.0002523,              0.0002523,              0.0002523
                     12,                 1.2032,                 1.1091,                 1.1883,                0.64907,                0.75181,                0.75801,                0.48987,                 1.3068,                 1.1414,                 1.2795,             0.00022978,             0.00022978,             0.00022978
                     13,                 1.1849,                 1.0405,                 1.1795,                0.72968,                0.80865,                0.81313,                 0.5267,                 1.2795,                 1.0156,                  1.263,             0.00020725,             0.00020725,             0.00020725
                     14,                 1.1637,                0.98394,                  1.156,                0.77072,                0.79577,                0.83046,                   0.54,                 1.2802,                 1.0082,                 1.2627,             0.00018473,             0.00018473,             0.00018473
                     15,                 1.1483,                0.93309,                 1.1458,                0.81621,                0.82055,                0.85481,                0.55583,                 1.2664,                0.95133,                 1.2462,             0.00016221,             0.00016221,             0.00016221
                     16,                 1.1377,                0.90974,                 1.1437,                0.84906,                0.83901,                 0.8815,                0.57356,                 1.2806,                0.91938,                 1.2519,             0.00013969,             0.00013969,             0.00013969
                     17,                 1.1122,                0.87955,                 1.1272,                0.86247,                0.80209,                0.88366,                0.58342,                 1.2536,                0.91046,                 1.2261,             0.00011716,             0.00011716,             0.00011716
                     18,                 1.0796,                0.84356,                 1.1079,                0.85588,                0.83944,                0.89668,                0.59429,                 1.2442,                0.89125,                  1.227,              9.464e-05,              9.464e-05,              9.464e-05
                     19,                 1.0777,                0.82124,                 1.1068,                0.91662,                 0.8587,                0.91776,                0.61081,                 1.2295,                 0.8542,                  1.223,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     20,                 1.0515,                0.80345,                 1.0987,                0.89637,                0.86454,                0.91387,                0.61516,                 1.2243,                0.84148,                 1.2218,             4.9595e-05,             4.9595e-05,             4.9595e-05
