                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6768,                 2.4535,                 1.5227,                0.75045,                0.42983,                0.51847,                 0.2489,                   1.72,                  2.138,                 1.6322,             0.00041199,             0.00041199,             0.00041199
                      2,                 1.5732,                 1.6238,                 1.4308,                0.62179,                0.58811,                0.63149,                0.33929,                 1.5762,                 1.8051,                 1.6554,             0.00081224,             0.00081224,             0.00081224
                      3,                 1.5994,                 1.6182,                 1.4489,                0.43719,                0.47241,                0.43866,                 0.2222,                 1.6758,                 2.3116,                 1.7401,               0.001196,               0.001196,               0.001196
                      4,                 1.5624,                 1.5033,                 1.4183,                0.58901,                 0.6054,                 0.6259,                0.30627,                 1.6406,                 1.9917,                 1.6377,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.5413,                 1.4267,                 1.4009,                0.72332,                0.60386,                0.68823,                0.36868,                 1.5384,                 1.5674,                 1.5352,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5241,                 1.3689,                 1.3965,                0.67177,                0.68062,                0.70971,                0.39273,                 1.5639,                 1.4331,                 1.5672,               0.001151,               0.001151,               0.001151
                      7,                 1.4974,                 1.2845,                 1.3825,                0.72126,                0.62516,                0.70007,                0.37246,                 1.5235,                 1.4025,                 1.5139,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.5262,                 1.3206,                 1.3923,                0.64482,                0.69509,                0.71043,                0.38965,                 1.4714,                 1.3974,                 1.4819,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4708,                 1.2281,                 1.3566,                0.74087,                0.67598,                0.75379,                 0.4316,                  1.469,                 1.2221,                 1.4809,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4399,                 1.1619,                 1.3445,                0.62181,                 0.7721,                0.77042,                0.42972,                 1.3692,                 1.1749,                 1.4263,               0.001052,               0.001052,               0.001052
                     11,                  1.433,                 1.1504,                 1.3419,                0.73837,                0.75956,                0.80934,                0.45782,                 1.4472,                 1.0301,                 1.4815,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4156,                 1.0888,                  1.308,                0.74104,                0.75473,                0.78668,                 0.4534,                  1.391,                   1.04,                 1.4108,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.4057,                 1.0767,                 1.3063,                0.83743,                0.69295,                0.80651,                0.48593,                 1.3267,                0.91617,                 1.3593,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3976,                 1.0645,                 1.3096,                0.75172,                0.71637,                0.79625,                0.45692,                 1.4699,                 1.0263,                 1.4681,               0.000953,               0.000953,               0.000953
                     15,                 1.3849,                 1.0333,                 1.3058,                0.84966,                0.73556,                0.82742,                0.49163,                 1.3733,                 0.9108,                 1.3964,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3943,                 1.0251,                 1.3095,                0.73729,                0.74288,                0.78446,                0.47067,                 1.3825,                0.95115,                 1.4005,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3644,                 1.0003,                 1.2915,                0.76818,                0.72534,                0.80866,                0.47069,                 1.3993,                0.95087,                 1.4325,             0.00087875,             0.00087875,             0.00087875
